canonical_id,name,type,aliases,homepage,doi,source
8104408,MNIST-Federated-Learning,Dataset,mnist-federated-learning,,10.5281/zenodo.8104408,Zenodo
12759284,MNIST_train_test_set.hdf5,Dataset,mnist_train_test_set.hdf5,,10.5281/zenodo.12759284,Zenodo
5590638,Modified MNIST,Dataset,modified mnist,,10.5281/zenodo.5590638,Zenodo
13357260,mnist dataset,Dataset,mnist dataset,,10.5281/zenodo.13357260,Zenodo
10058130,MNIST dataset,Dataset,mnist dataset,,10.5281/zenodo.10058130,Zenodo
7602025,Wildlife MNIST,Dataset,wildlife mnist,,10.5281/zenodo.7602025,Zenodo
5933397,mnist-train,Dataset,mnist-train,,10.5281/zenodo.5933397,Zenodo
